image_id,image_path,label_path,source_id,frame_index,timestamp_seconds,split,label_status,box_count,class_counts,annotation_formats,content_sha256
716c672d0e24baac884cf241b43c250bf73d4de88394e7f6b0ebdfbc06abddc4,train/images/04dc922fb27f_frame_000000.jpg,train/labels/04dc922fb27f_frame_000000.txt,04dc922fb27f,0,0.0,train,labeled,51,0:5;1:12;2:33;4:1,bbox:51,
17407de640722db25a5b168f0ae3c9aa18f6ff2454c28a7875a84a999280d284,train/images/04dc922fb27f_frame_000001.jpg,train/labels/04dc922fb27f_frame_000001.txt,04dc922fb27f,1,0.5,train,labeled,50,0:6;1:13;2:29;3:1;4:1,bbox:50,
d50c4b6a524be5def1bd3a5606d1662d1a344a841b45ca25b26a041f1746eec3,train/images/04dc922fb27f_frame_000002.jpg,train/labels/04dc922fb27f_frame_000002.txt,04dc922fb27f,2,1.0,train,labeled,50,0:5;1:14;2:31,bbox:50,
cec845119dc61c7ab6a99a3e2f603b8391905e7fa8b83f1f6a068a8fd2c963c2,train/images/04dc922fb27f_frame_000003.jpg,train/labels/04dc922fb27f_frame_000003.txt,04dc922fb27f,3,1.5,train,labeled,49,0:5;1:12;2:32,bbox:49,
c8965a48906dfc8119b6db20696f773473430d541067b5d3d8b6a57e845ec296,train/images/04dc922fb27f_frame_000004.jpg,train/labels/04dc922fb27f_frame_000004.txt,04dc922fb27f,4,2.0,train,labeled,53,0:5;1:13;2:34;3:1,bbox:53,
fb5b11f5b45e1f7e1d762d3708b043f549ae78cd7490f7fc4ab5af77e2947982,train/images/04dc922fb27f_frame_000005.jpg,train/labels/04dc922fb27f_frame_000005.txt,04dc922fb27f,5,2.5,train,labeled,53,0:5;1:13;2:35,bbox:53,
11e5a0151b0512b432352d16bd72e6aacba77f59cfd66f59bde5cfbd5af9a235,train/images/04dc922fb27f_frame_000006.jpg,train/labels/04dc922fb27f_frame_000006.txt,04dc922fb27f,6,3.0,train,labeled,52,0:4;1:13;2:34;3:1,bbox:52,
459f0095f8a9f4b8ba04e319346e6006473166ec0d355042d533be5c4c6e48c0,train/images/04dc922fb27f_frame_000007.jpg,train/labels/04dc922fb27f_frame_000007.txt,04dc922fb27f,7,3.5,train,labeled,48,0:4;1:13;2:31,bbox:48,
0ad0fb2da617d7158b42b47c477ebdcf2bca0cfb83d785ee6ad5a03077fb4c05,train/images/04dc922fb27f_frame_000008.jpg,train/labels/04dc922fb27f_frame_000008.txt,04dc922fb27f,8,4.0,train,labeled,49,0:4;1:14;2:31,bbox:49,
b531453373fba27dc732d156949fd1a8035c6c401b22827aff7f6c9404acbed6,train/images/04dc922fb27f_frame_000009.jpg,train/labels/04dc922fb27f_frame_000009.txt,04dc922fb27f,9,4.5,train,labeled,50,0:4;1:11;2:34;3:1,bbox:50,
0f263164df655b414ca3bdd562385cb1bb47d6f670a04b40edff9d64c9e406b3,train/images/04dc922fb27f_frame_000010.jpg,train/labels/04dc922fb27f_frame_000010.txt,04dc922fb27f,10,5.0,train,labeled,46,0:5;1:10;2:31,bbox:46,
da902860bb76c06ebd363814e6a532340f6d2dd460ca4bc5cc86e07c36cebfa0,train/images/04dc922fb27f_frame_000011.jpg,train/labels/04dc922fb27f_frame_000011.txt,04dc922fb27f,11,5.5,train,labeled,44,0:4;1:9;2:31,bbox:44,
688ab837d81e5618e73f608f7cd31f2f26dbea1107705701ef29abb22a5141c4,train/images/04dc922fb27f_frame_000012.jpg,train/labels/04dc922fb27f_frame_000012.txt,04dc922fb27f,12,6.0,train,labeled,52,0:4;1:12;2:36,bbox:52,
